date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
03:02:36	129/129	---M-Z	200	added ('OK')	text/plain	date:Wed,%2009%20Sep%202026%2021:32:35%20GMT	http://www.zettafarms.com/robots.txt		(from )
03:02:41	0/0	---M--	301	error ('Moved%20Permanently')	text/html	date:Wed,%2009%20Sep%202026%2021:32:41%20GMT	http://www.zettafarms.com/	/Users/riturajsharma/websites/Zetta%20Farms/Zettafarms.com%20Website/www.zettafarms.com/index.html	(from )
03:02:43	156659/156659	---MCZ	200	added ('OK')	text/html	date:Wed,%2009%20Sep%202026%2021:32:43%20GMT	https://www.zettafarms.com/	/Users/riturajsharma/websites/Zetta%20Farms/Zettafarms.com%20Website/www.zettafarms.com/index.html	(from )
03:02:44	1561/1561	---M--	404	error ('Not%20Found')	text/html	date:Wed,%2009%20Sep%202026%2021:32:44%20GMT	http://www.googletagmanager.com/	/Users/riturajsharma/websites/Zetta%20Farms/Zettafarms.com%20Website/www.googletagmanager.com/index.html	(from https://www.zettafarms.com/)
03:02:44	1061396/1061396	---M--	200	added ('OK')	image/jpeg	date:Wed,%2011%20Oct%202023%2005:16:17%20GMT	https://www.zettafarms.com/wp-content/uploads/2023/10/Mask-Group-53.jpg	/Users/riturajsharma/websites/Zetta%20Farms/Zettafarms.com%20Website/www.zettafarms.com/wp-content/uploads/2023/10/Mask-Group-53.jpg	(from https://www.zettafarms.com/)
03:02:45	2659/2659	---M-Z	200	added ('OK')	application/json	date:Wed,%2009%20Sep%202026%2021:32:44%20GMT	https://www.zettafarms.com/wp-json/oembed/1.0/embed?url=https%3A%2F%2Fwww.zettafarms.com%2F	/Users/riturajsharma/websites/Zetta%20Farms/Zettafarms.com%20Website/www.zettafarms.com/wp-json/oembed/1.0/embedb9c5.json	(from https://www.zettafarms.com/)
03:02:45	746/746	---M-Z	200	added ('OK')	application/rss+xml	date:Sat,%2023%20May%202026%2015:26:39%20GMT	https://www.zettafarms.com/comments/feed/	/Users/riturajsharma/websites/Zetta%20Farms/Zettafarms.com%20Website/www.zettafarms.com/comments/feed/index.html	(from https://www.zettafarms.com/)
03:02:45	183379/183379	---MCZ	200	added ('OK')	application/rss+xml	date:Sat,%2023%20May%202026%2015:26:39%20GMT	https://www.zettafarms.com/feed/	/Users/riturajsharma/websites/Zetta%20Farms/Zettafarms.com%20Website/www.zettafarms.com/feed/index.html	(from https://www.zettafarms.com/)
03:02:45	2834/2834	---M-Z	200	added ('OK')	text/xml	date:Wed,%2009%20Sep%202026%2021:32:45%20GMT	https://www.zettafarms.com/wp-json/oembed/1.0/embed?url=https%3A%2F%2Fwww.zettafarms.com%2F&format=xml	/Users/riturajsharma/websites/Zetta%20Farms/Zettafarms.com%20Website/www.zettafarms.com/wp-json/oembed/1.0/embedf8a5	(from https://www.zettafarms.com/)
03:02:46	53358/53358	---M-Z	200	added ('OK')	text/css	date:Tue,%2005%20Aug%202025%2005:34:22%20GMT	https://www.zettafarms.com/wp-content/plugins/elementor/assets/css/frontend.min.css?ver=3.29.1	/Users/riturajsharma/websites/Zetta%20Farms/Zettafarms.com%20Website/www.zettafarms.com/wp-content/plugins/elementor/assets/css/frontend.mine4fa.css	(from https://www.zettafarms.com/)
03:02:46	12525/12525	---M-Z	200	added ('OK')	text/css	date:Tue,%2005%20Aug%202025%2005:42:50%20GMT	https://www.zettafarms.com/wp-content/uploads/elementor/css/post-16.css?ver=1754372570	/Users/riturajsharma/websites/Zetta%20Farms/Zettafarms.com%20Website/www.zettafarms.com/wp-content/uploads/elementor/css/post-167c68.css	(from https://www.zettafarms.com/)
03:02:47	15154/15154	---M-Z	200	added ('OK')	text/css	date:Tue,%2005%20Aug%202025%2005:42:50%20GMT	https://www.zettafarms.com/wp-content/uploads/elementor/css/post-143.css?ver=1754372570	/Users/riturajsharma/websites/Zetta%20Farms/Zettafarms.com%20Website/www.zettafarms.com/wp-content/uploads/elementor/css/post-1437c68.css	(from https://www.zettafarms.com/)
03:02:47	59306/59306	---M-Z	200	added ('OK')	text/css	date:Tue,%2010%20Oct%202023%2007:42:54%20GMT	https://www.zettafarms.com/wp-content/plugins/creative-post-carousel/assets/public/css/all.min.css?ver=1.3	/Users/riturajsharma/websites/Zetta%20Farms/Zettafarms.com%20Website/www.zettafarms.com/wp-content/plugins/creative-post-carousel/assets/public/css/all.min4e44.css	(from https://www.zettafarms.com/)
03:02:48	4002/4002	---M-Z	200	added ('OK')	text/css	date:Tue,%2010%20Oct%202023%2007:42:54%20GMT	https://www.zettafarms.com/wp-content/plugins/creative-post-carousel/assets/public/css/owl.carousel.min.css?ver=1.3	/Users/riturajsharma/websites/Zetta%20Farms/Zettafarms.com%20Website/www.zettafarms.com/wp-content/plugins/creative-post-carousel/assets/public/css/owl.carousel.min4e44.css	(from https://www.zettafarms.com/)
03:02:48	1202/1202	---M-Z	200	added ('OK')	text/css	date:Tue,%2010%20Oct%202023%2007:42:54%20GMT	https://www.zettafarms.com/wp-content/plugins/creative-post-carousel/assets/public/css/owl.theme.default.min.css?ver=1.3	/Users/riturajsharma/websites/Zetta%20Farms/Zettafarms.com%20Website/www.zettafarms.com/wp-content/plugins/creative-post-carousel/assets/public/css/owl.theme.default.min4e44.css	(from https://www.zettafarms.com/)
03:02:49	67568/67568	---M-Z	200	added ('OK')	text/css	date:Tue,%2010%20Oct%202023%2007:42:54%20GMT	https://www.zettafarms.com/wp-content/plugins/creative-post-carousel/assets/public/css/main.css?ver=1.3	/Users/riturajsharma/websites/Zetta%20Farms/Zettafarms.com%20Website/www.zettafarms.com/wp-content/plugins/creative-post-carousel/assets/public/css/main4e44.css	(from https://www.zettafarms.com/)
03:02:49	5301/5301	---M-Z	200	added ('OK')	text/css	date:Tue,%2010%20Oct%202023%2007:42:54%20GMT	https://www.zettafarms.com/wp-content/plugins/creative-post-carousel/assets/public/css/responsive.css?ver=1.3	/Users/riturajsharma/websites/Zetta%20Farms/Zettafarms.com%20Website/www.zettafarms.com/wp-content/plugins/creative-post-carousel/assets/public/css/responsive4e44.css	(from https://www.zettafarms.com/)
03:02:49	5756/5756	---M-Z	200	added ('OK')	text/css	date:Thu,%2026%20Oct%202023%2008:05:47%20GMT	https://www.zettafarms.com/wp-content/themes/hello-elementor/style.min.css?ver=2.9.0	/Users/riturajsharma/websites/Zetta%20Farms/Zettafarms.com%20Website/www.zettafarms.com/wp-content/themes/hello-elementor/style.min5b0a.css	(from https://www.zettafarms.com/)
